Rating;Comments
5.0 out of 5 stars;I’ve found my holy grail product! It absorbs quickly into my skin, so it doesn’t interfere with makeup, yet it keeps my skin hydrated all day. Of course, it works great on my body too. This is my go-to lotion from now on!
5.0 out of 5 stars;i think this is about the best body moisturizer i have ever used. it gets absorbed very quickly. it does not feel greasy or gooey on your skin. love it.
4.0 out of 5 stars;"If you were looking for a cream, do not get this it will not compare. I have been using creams for almost a year and lotions do not cut it.
On the other hand, this is a high-quality lotion. I will save it for my family to use if they will use it I’m not sure if they have sensitive skin or not, but it is a nice lotion to use. It doesn’t have any of the ingredients that are usually added to most lotions Just all the good stuff. Leaving you with smooth, moist soft skin.!"
5.0 out of 5 stars;This is a great lotion for extra dry itchy skin! Our water here isn’t very good so my skin needs lots of moisture and balance.
5.0 out of 5 stars;I love this lotion. I always buy it however, I started ordering it since it was a little cheaper to me on amazon.
4.0 out of 5 stars;It keeps my face glowing and moisturized all day, but it doesn't absorb into skin, even after many hours. So doesn't work great with makeup, but is great for no-makeup days or as a body lotion.
5.0 out of 5 stars;Great to have available in large sizes.
5.0 out of 5 stars;Thos product is great for me in warm and cold weather.
5.0 out of 5 stars;Love this moisturizer, however it is not for oily skin. I have combination skin so it works well for me.
5.0 out of 5 stars;I love this lotion. It really smooth your skin and takes away the dryness.
5.0 out of 5 stars;Bought this for my mom and she loves it
5.0 out of 5 stars;As a family with sensitive skin, this is the only brand we use. We have this bad boy on auto ship so we never run out!
5.0 out of 5 stars;"Okay the description is a bit misleading because it says for your whole body including face.

It is rather runny and absorbs rather slowly so I wouldn’t advise applying it on your face.

Other than that, you should expect good quality from the brand. I used to have dry and rough skin but now it feels a lot smoother."
4.0 out of 5 stars;The CeraVe Daily Moisturizing Lotion is a good option for those looking for a lightweight and non-greasy moisturizer. It does a great job of hydrating the skin without being too oily or thick, which is especially beneficial for those with sensitive skin. The fact that it's fragrance-free is another big plus. However, I found that the hydration doesn't last as long as I would like, requiring reapplication throughout the day. While it's a good lotion, I wish it provided longer-lasting moisture.
5.0 out of 5 stars;My diabetic feet get so dry and uncomfortable. This lotion is great. Not sticky, even when sweating. Make my feet feel normal again and lasts all day or night.
5.0 out of 5 stars;Works well was recommended by my Dermatologist after a light treatment and I like it ??
5.0 out of 5 stars;Good lotion, but waste a lot with pump
5.0 out of 5 stars;I have only been using this for a few days now and my skin is looking a lot better!
5.0 out of 5 stars;"My skin gets so dry and irritated after I shave my legs that I crave using this Cerave lotion. A little goes a long way! It just takes one pump to cover my calf and another for my thigh. The lotion is thin and glides on very fast. I don't feel sticky or greasy after. My itchiness goes away almost instantly when using this lotion.

For best results, I recommend using this all-over fresh out of the shower to help lock in moisture.

I also use this as my daily face lotion in the summer."
5.0 out of 5 stars;My top moisturizer for the summer. Its lightweight and moisturizing. Really good for a hot day when you just want something light on your face. I just use a cleanser and moisturize with this on damp skin. Tewwww good!
5.0 out of 5 stars;This has been a lifesaver for my sensitive skin. I really noticed a difference right away. Nice big bottle too.
5.0 out of 5 stars;Great size for the price and leaves my skin soft!
5.0 out of 5 stars;Good product
4.0 out of 5 stars;I purchased this with other products for whitening my skin. The good part is that the hydration makes a smooth feeling, but it does not works for a long lasting period of time. You have to put a big amount to keep skin moisture.
5.0 out of 5 stars;He loves this product!
5.0 out of 5 stars;This stuff is amazing. I bought it for my hands feet and legs but I use it on my face more than anything else. I have tried so many products and they all break out my dry skin or don’t moisturize at all. This product I can use many times a day without break outs. The more I use it the more my skin looks plumped up and my wrinkles are less noticeable.
5.0 out of 5 stars;CeraVe is the G.O.A.T. Perfect for all of my skin needs from head to toe.
4.0 out of 5 stars;"I use this on my face as well. I like this bc it’s not as oily. Used to use cetaphil and they changed their ingredients and now it’s so oily. Luckily Cera ve is still light and the stickiness goes away fairly quickly.
Please don’t change anything!"
5.0 out of 5 stars;The moothness it’s very good
4.0 out of 5 stars;I have been using the cream for several months and absolutely love it. I decided to try the lotion.  It is very lightweight. I wasn’t very impressed. I had purchased the serum also. When you use the two together it works a lot better. I’m not sure yet if I’ll purchase these again. I have already purchased another cream. Love it.
5.0 out of 5 stars;It's the best moisturizer I have ever found and I'm 27 years old! Has helped so much keeping my face hydrated and breakout free!! Get it, no doubt.
5.0 out of 5 stars;I really like this product. I live in a very dry environment and this keeps my skin moisturized better than anything I have tried. I asked my dermatologist for a good moisturizer, and this is what he recommended
5.0 out of 5 stars;Works great.  Doesn’t feel heavy or greasy.
5.0 out of 5 stars;I LOVE CeraVe got a few of their products and wow they feel nice on the skin. No weird feeling left after you apply it and light on the skin. Pump works great.
5.0 out of 5 stars;"I suddenly developed an oily skin issue. Idk how or why this happened, but it has become a challenge for me to find a skin lotion that does not exacerbate the problem. I read that this lotion is not heavy AND it repairs the skin's barrier.

This is the only lotion I use on my body now."
5.0 out of 5 stars;I use every AM & PM after washing my face and it is great!
5.0 out of 5 stars;it's not greasy, is what my dermatologist prescribed, meets my budget and needs
5.0 out of 5 stars;This is an excellent product for all skin types. I have an oily and sensitive skin and usually get irritated by different products but the cerave moisturising cream works great for me!
5.0 out of 5 stars;I use this mainly on my hands during the day, especially during the dry winters in Tucson, AZ.
5.0 out of 5 stars;I purchased this due to my dermatologist, recommending it from face peeling from medication. Very good moisturizer
5.0 out of 5 stars;I have used this product for two years and have had no complaints.
5.0 out of 5 stars;Buen producto
5.0 out of 5 stars;Have been using for years
5.0 out of 5 stars;"This stuff is awesome
I have tried many other moisturizers and have been let down many time
This one is great not too thick and feels awesome after applying"
4.0 out of 5 stars;This product does not have enough oil in it. I don't know if they usually put oil in moisturizer but it's missing something. My face does not have a glow after using this product. My face appears to be dry.
5.0 out of 5 stars;Great product for moisturizing your skin all over.
4.0 out of 5 stars;Deja la pies suave
5.0 out of 5 stars;Arrived on time, and was perfect. Will order again.
5.0 out of 5 stars;Works great
4.0 out of 5 stars;Excelente producto
5.0 out of 5 stars;This lotion is great. I’ve been purchasing this for years and nothing compares. I have extremely sensitive skin and have never had any issues with this.
5.0 out of 5 stars;I love the light soft feel on my skin leaves your face soft and silky smooth great for the price
5.0 out of 5 stars;Very nice
5.0 out of 5 stars;There's nothing to dislike. Moisturizes as promised. Soaks in well. Not greasy. Very good price point for such a reliable product.
5.0 out of 5 stars;Body skin care softens skincare skin and not greasy. I basically use it on my arms , legs, and neck area.  Makes your skin feel great.
5.0 out of 5 stars;Good for dry skin
5.0 out of 5 stars;Very good for dry hands.
5.0 out of 5 stars;It really made my skin feel great and not feel like I was hosed down with oil.
5.0 out of 5 stars;Really moisturizes my face. I use it for night. Good quality. Kinda thicker than I expected but for night moisturizer it's great.
5.0 out of 5 stars;"I was skeptical because this is not very ""glamorous"" for a face cream, but the reviews interested me so I initially bought a small travel tube. Liked it, but still skeptical so I googled websites that evaluated the ingredients and that came out reassuringly as well. Not oily, not greasy, no weird stuff in it...good product."
5.0 out of 5 stars;Came perfectly. (big size). Also had a little removable plastic part that stopped the pump from being able to be pushed down which I appreciated! Will be keeping for future uses when I need to pack the lotion away.
5.0 out of 5 stars;Calidad esperada
5.0 out of 5 stars;I use it for dry areas like elbows and knees, it is super moisturizing and has helped me after several weeks!
5.0 out of 5 stars;Light, non-greasy and it’s recommended by Dermatologists!
5.0 out of 5 stars;Only lotion my husband will use now. Good pump top.
5.0 out of 5 stars;this is an essential for my skin routine! Keeps my skin hydrated and smooth
5.0 out of 5 stars;I use it for my dry skin
5.0 out of 5 stars;Goes on smoothly and drys fast without feeling heavy and leaving my skin moisturized all day.
5.0 out of 5 stars;Good product but nozzle was broke on the lotion bottle
5.0 out of 5 stars;It is a great moisturizer.  I wear it every night.
5.0 out of 5 stars;"Great moisturizer. Absorbs good, doesn’t leave my hands feeling like I have to rub anything off just to pick up a glass of water.
Does what I want it to do!!"
5.0 out of 5 stars;I love CeraVe, I work in Dermatology and this is my go to recommendation for many people.
5.0 out of 5 stars;La Calidad, la cantidad.
5.0 out of 5 stars;Does what it’s supposed to do.
5.0 out of 5 stars;This is a very good lotion one of our favorites. But highly recommend this.
5.0 out of 5 stars;Odorless and doesn't leave that greasy feeling!
5.0 out of 5 stars;Works well
5.0 out of 5 stars;Exelente.
5.0 out of 5 stars;As someone who grew up in humid climate. I have have hated every lotion I’ve ever used. They have either left me feeling greasy or have not been well absorbed and feel nasty when I sweat. This is the first time I can say that a lotion feels lightweight and is absorbed quickly but is lasting. It doesn’t “feel” like I have lotion on during they day even though my skin looks and feels hydrated and doesn’t get greasy when I sweat. 10/10 highly recommend.
5.0 out of 5 stars;Unscented and unbelievably excellent. This is truly an amazing product that isn’t expensive and actually works even on old skin!
4.0 out of 5 stars;Me gusta mucho muy hidratante
5.0 out of 5 stars;A great daily moisturizing lotion. I always apply it on my face in the morning.
5.0 out of 5 stars;Rápida acción
5.0 out of 5 stars;I like the pump. & the lotion
;
